"city","datetime","temp","feels_like","temp_min","temp_max","pressure","humidity"
"Seoul","2025-03-04 18:00:00",1.42,-0.83,0.73,1.42,1022,74
"Seoul","2025-03-04 21:00:00",0.87,-1.27,0.43,0.87,1022,71
"Seoul","2025-03-05 00:00:00",1.65,-0.31,1.65,1.65,1024,63
"Seoul","2025-03-05 03:00:00",5.07,3.22,5.07,5.07,1024,46
"Seoul","2025-03-05 06:00:00",7.25,5.02,7.25,7.25,1023,36
"Seoul","2025-03-05 09:00:00",6.77,4.56,6.77,6.77,1023,38
"Seoul","2025-03-05 12:00:00",5.23,3.32,5.23,5.23,1024,44
"Seoul","2025-03-05 15:00:00",3.37,3.37,3.37,3.37,1025,50
"Seoul","2025-03-05 18:00:00",2.14,2.14,2.14,2.14,1025,56
"Seoul","2025-03-05 21:00:00",1.24,1.24,1.24,1.24,1025,59
"Seoul","2025-03-06 00:00:00",2.52,2.52,2.52,2.52,1026,54
"Seoul","2025-03-06 03:00:00",5.82,3.87,5.82,5.82,1026,35
"Seoul","2025-03-06 06:00:00",8.06,6.05,8.06,8.06,1025,28
"Seoul","2025-03-06 09:00:00",8.08,5.71,8.08,8.08,1025,26
"Seoul","2025-03-06 12:00:00",6.27,4.81,6.27,6.27,1027,33
"Seoul","2025-03-06 15:00:00",4.13,2.84,4.13,4.13,1028,42
"Seoul","2025-03-06 18:00:00",2.95,2.95,2.95,2.95,1028,45
"Seoul","2025-03-06 21:00:00",2.1,2.1,2.1,2.1,1028,48
"Seoul","2025-03-07 00:00:00",3.21,3.21,3.21,3.21,1029,55
"Seoul","2025-03-07 03:00:00",6.26,5.47,6.26,6.26,1029,38
"Seoul","2025-03-07 06:00:00",7.95,6.26,7.95,7.95,1027,28
"Seoul","2025-03-07 09:00:00",6.23,4.02,6.23,6.23,1027,27
"Seoul","2025-03-07 12:00:00",4.93,3.69,4.93,4.93,1028,28
"Seoul","2025-03-07 15:00:00",4.24,4.24,4.24,4.24,1027,33
"Seoul","2025-03-07 18:00:00",3.42,3.42,3.42,3.42,1027,43
"Seoul","2025-03-07 21:00:00",2.84,2.84,2.84,2.84,1027,49
"Seoul","2025-03-08 00:00:00",3.8,3.8,3.8,3.8,1028,47
"Seoul","2025-03-08 03:00:00",6.96,5.39,6.96,6.96,1028,33
"Seoul","2025-03-08 06:00:00",8.32,6.09,8.32,8.32,1026,30
"Seoul","2025-03-08 09:00:00",6.9,4.41,6.9,6.9,1027,40
"Seoul","2025-03-08 12:00:00",5.33,3.86,5.33,5.33,1029,54
"Seoul","2025-03-08 15:00:00",4.45,4.45,4.45,4.45,1030,63
"Seoul","2025-03-08 18:00:00",3.58,3.58,3.58,3.58,1030,67
"Seoul","2025-03-08 21:00:00",2.97,2.97,2.97,2.97,1030,70
"Seoul","2025-03-09 00:00:00",4.5,4.5,4.5,4.5,1031,62
"Seoul","2025-03-09 03:00:00",8.25,8.25,8.25,8.25,1030,42
"Seoul","2025-03-09 06:00:00",10.99,8.88,10.99,10.99,1029,28
"Seoul","2025-03-09 09:00:00",10.8,8.59,10.8,10.8,1028,25
"Seoul","2025-03-09 12:00:00",8.86,8.86,8.86,8.86,1028,30
"Seoul","2025-03-09 15:00:00",7.11,7.11,7.11,7.11,1027,37
"Washington, D.C.","2025-03-04 18:00:00",2.84,2.84,2.84,5.71,1020,84
"Washington, D.C.","2025-03-04 21:00:00",5.08,5.08,5.08,6.92,1018,83
"Washington, D.C.","2025-03-05 00:00:00",6.83,6.83,6.83,6.83,1017,88
"Washington, D.C.","2025-03-05 03:00:00",2.29,0.25,2.29,2.29,1019,95
"Washington, D.C.","2025-03-05 06:00:00",-0.23,-3.33,-0.23,-0.23,1021,89
"Washington, D.C.","2025-03-05 09:00:00",-0.6,-3.4,-0.6,-0.6,1022,90
"Washington, D.C.","2025-03-05 12:00:00",-0.51,-3.27,-0.51,-0.51,1021,89
"Washington, D.C.","2025-03-05 15:00:00",0.37,-2.11,0.37,0.37,1020,87
"Washington, D.C.","2025-03-05 18:00:00",5.73,4.98,5.73,5.73,1018,67
"Washington, D.C.","2025-03-05 21:00:00",8.37,8.37,8.37,8.37,1015,57
"Washington, D.C.","2025-03-06 00:00:00",7.97,7.48,7.97,7.97,1014,65
"Washington, D.C.","2025-03-06 03:00:00",2.17,2.17,2.17,2.17,1015,87
"Washington, D.C.","2025-03-06 06:00:00",0.18,-2.16,0.18,0.18,1016,93
"Washington, D.C.","2025-03-06 09:00:00",1.36,-0.2,1.36,1.36,1014,90
"Washington, D.C.","2025-03-06 12:00:00",0,-2.38,0,0,1014,91
